,id,activity_name,type,timestamp,resource
0,61,Loan__application_received,assign,2005-02-07 15:30:00,
1,61,Loan__application_received,complete,2005-02-07 15:30:00,
2,61,Check__application__form_completeness,assign,2005-02-07 15:30:00,operator
3,61,Check__application__form_completeness,complete,2005-02-07 15:57:54,
4,61,Appraise_property,assign,2005-02-07 15:57:54,operator
5,61,Check_credit_history,assign,2005-02-07 15:57:54,operator
6,61,Check_credit_history,complete,2005-02-07 16:01:21,
7,61,Assess_loan_risk,assign,2005-02-07 16:01:21,operator
8,61,Appraise_property,complete,2005-02-07 16:28:34,
9,61,Assess_loan_risk,complete,2005-02-08 09:02:40,
10,61,Assess_eligibility,assign,2005-02-08 09:02:40,operator
11,61,Assess_eligibility,complete,2005-02-08 09:03:43,
12,61,Reject_application,assign,2005-02-08 09:03:43,operator
13,61,Reject_application,complete,2005-02-08 09:05:34,
14,61,Loan_application_rejected,assign,2005-02-08 09:05:34,
15,61,Loan_application_rejected,complete,2005-02-08 09:05:34,
16,105,Loan__application_received,assign,2006-02-12 13:30:00,
17,105,Loan__application_received,complete,2006-02-12 13:30:00,
18,105,Check__application__form_completeness,assign,2006-02-12 13:30:00,operator
19,105,Check__application__form_completeness,complete,2006-02-12 14:25:51,
20,105,Appraise_property,assign,2006-02-12 14:25:51,operator
21,105,Check_credit_history,assign,2006-02-12 14:25:51,operator
22,105,Appraise_property,complete,2006-02-12 15:43:46,
23,105,Check_credit_history,complete,2006-02-12 16:18:55,
24,105,Assess_loan_risk,assign,2006-02-12 16:18:55,operator
25,105,Assess_loan_risk,complete,2006-02-12 16:39:05,
26,105,Assess_eligibility,assign,2006-02-12 16:39:05,operator
27,105,Assess_eligibility,complete,2006-02-13 09:13:59,
28,105,Prepare_acceptance_pack,assign,2006-02-13 09:13:59,operator
29,105,Prepare_acceptance_pack,complete,2006-02-13 09:31:55,
30,105,Check_if_home_insurance_quote_is_requested,assign,2006-02-13 09:31:55,operator
